year,category,count
2022,cond-mat.stat-mech,1607
2022,cond-mat.str-el,2337
2022,cond-mat.supr-con,1260
2022,cs.AI,2128
2022,cs.AR,417
2022,cs.CC,368
2022,cs.CE,383
2022,cs.CG,333
2022,cs.CL,7036
2022,cs.CR,2855
2022,cs.CV,14429
2022,cs.CY,1007
2022,cs.DB,558
2022,cs.DC,1231
2022,cs.DL,296
2022,cs.DM,253
2022,cs.DS,1308
2022,cs.ET,227
2022,cs.FL,227
2022,cs.GL,6
2022,cs.GR,321
2022,cs.GT,736
2022,cs.HC,1468
2022,cs.IR,1273
2022,cs.IT,2586
2022,cs.LG,13821
2022,cs.LO,724
2022,cs.MA,338
2022,cs.MM,197
2022,cs.MS,52
2022,cs.NA,3
2022,cs.NE,733
2022,cs.NI,1363
2022,cs.OH,49
2022,cs.OS,37
2022,cs.PF,68
2022,cs.PL,420
2022,cs.RO,3747
2022,cs.SC,84
2022,cs.SD,1218
2022,cs.SE,1555
2022,cs.SI,926
2022,cs.SY,13
2022,econ.EM,375
2022,econ.GN,591
2022,econ.TH,312
2022,eess.AS,1098
2022,eess.IV,2762
2022,eess.SP,2313
2022,eess.SY,2732
2022,gr-qc,3578
2022,hep-ex,916
2022,hep-lat,593
2022,hep-ph,5246
2022,hep-th,3993
2022,math-ph,1222
2022,math.AC,551
2022,math.AG,2315
2022,math.AP,4108
2022,math.AT,646
2022,math.CA,854
2022,math.CO,3689
2022,math.CT,339
2022,math.CV,629
2022,math.DG,1760
2022,math.DS,1597
2022,math.FA,1482
2022,math.GM,287
2022,math.GN,209
2022,math.GR,956
2022,math.GT,939
2022,math.HO,226
2022,math.KT,147
2022,math.LO,708
2022,math.MG,429
2022,math.NA,2877
2022,math.NT,2494
2022,math.OA,384
2022,math.OC,3370
2022,math.PR,2698
2022,math.QA,348
2022,math.RA,707
2022,math.RT,974
2022,math.SG,324
2022,math.SP,240
2022,math.ST,1040
2022,nlin.AO,169
2022,nlin.CD,157
2022,nlin.CG,18
2022,nlin.PS,210
2022,nlin.SI,201
