author,models,datasets,spaces
theproductboxes,0,1610,0
CrowdAILab,0,26859871711,0
Prashanth35,0,0,16556
highnote,0,685327446,0
Emmawang,580586311,62792068,3221773
Chakri1997,0,0,3067
davertor,0,0,257322637
DaviadiAF,489035248,0,0
GeneZC,65744588150,216879,0
pawelklimkowski,7618101514,0,3376
buildingthemoon,7985159799,0,0
AkiKagura,9749813799,0,11922
Farhang87,22227950704,0,0
byebyebye,0,1158761397,0
SergiiGurbych,0,254119,0
gforguru,0,0,2866876900
EyeSeeThru,1182,0,99823
Yanqing2001,70742322,0,0
rikhoffbauer2,1226205037,0,0
b-monroe,0,0,439985606
manishjaiswal,0,0,400553125
Hellotoxictiy,0,0,14878
Baybars,5623856676,25419177,0
Unmotivier77,0,2690707577,0
0xid,562423260,0,0
madhurjindal,805320042,0,896692177
deepakvk,1282155639,2661419,0
loveu-tgve,0,0,42772088
nyoorspace,0,200471537,0
Hannah0911,0,79015802,47066408
azuboguko,0,0,3818
csk-2333,983676801,0,0
Vedits,0,0,560731208
Robo2000,0,0,180479382
pivot-prompt,0,0,1250844
akaaku,0,0,349689
zhangddd,0,0,6926
RobinWZQ,5483047143,158510421,5653569838
solarplasma,0,0,0
Chirag0123,423230925,752074,0
sebastian-hofstaetter,2137737297,233056775,69888072
brianarbuckle,0,102514,0
kweyamba,0,18241,30488336
ipanagiotidou,0,5001285,0
ThatsGroes,64711270119,0,0
wiorz,58985062185,0,0
Prasanna18,478161075,197241,7583805111
yananchen,0,1613,0
jeffistyping,0,0,16281
johnny9210,0,1142622,0
ldhnam,62661096169,7532750638,0
aifti2,0,0,1767
EasthShin,3798783298,0,0
S4NX,0,0,33570
StivenLancheros,50497389118,46330003067,0
socialtrait,63037323783,0,0
hiltch,0,4716347,0
wilmerags,2996,0,12297
lingtrain,9524816973,30063700,0
pawan2411,55551921006,6932815,0
mikael17125,0,13100280346,0
Austenooo,0,3715554,0
joost6196,2268976542,8017,0
InceptiveDev,161915923383,6923014,0
calm-and-collected,302192170,1286369641,0
Kirili4ik,11009098201,2342386,105806
nakkhatra,673087192,1591,0
h2m,194989650618,0,0
iamgroot42,0,0,0
mgalkin,2549928,0,0
ChiragAI12,482809026,2936254,0
SajjadAyoubi,8827087620,14024,614624768
TotoB12,0,8750438810,10830561
tanvirsingh01,0,0,2387420972
Anup01,0,0,3701
adolfont,0,0,5990
LIA-AvignonUniversity,3041861785,0,0
lct-rug-2022,3320016699,0,0
bigscience,18093478335741,874411727357,10724503
superamar,10049004981,0,0
michaelgira23,0,0,2556830718
asprenger,26568518571,0,0
AnaniyaX,2622058558,90415965,0
cschell,0,9103826257,0
moxi43,4700,733,0
aigrils2,36484516383,0,0
SunX45,0,0,1258624541
DeveloperAkhil,3059,0,9439
ArthurBaia,8212583898,6330,0
FlowiseAI,0,0,2434
aru2016,2132870069,69006896,0
tallwhitestck,0,0,4669391
Reself,0,0,12607036901
Pranjal-666,273904264,0,155982317
spacemanidol,196392744331,126114041864,0
JujoHotaru,112154374768,0,0
michaelgartner,0,0,3629
webbigdata,34756248659,0,0
alexjercan,3181198541,382804750,0
Akibub,27955772039,4086248535,1830
IVentureISB,0,0,14494
niizam,1703390566,1181326457,4227409790
tarjomeh,13478828621,0,5922505
DDDSSS,623381312,20904535,1729
iohadrubin,25495097081,1423401150367,1401
BrownFox3,0,19071671,0
zhihz0535,6265585733,5743206,0
WalidBouss,0,0,1625246
sohohuk,14485849278,0,0
Cheatham,43768602222,3831,0
ipuneetrathore,866771914,0,0
TogetherAI,134270802,0,4217723805
7thHeaven,0,0,26495
wildoctopus,0,0,178751968
bs-modeling-metadata,2376604765030,1479499485580,4221
Aman30577,0,0,9921
ItsJayQz,144122275678,0,51228
wonderit-safeai,0,0,1858746404
Supreeth4084,0,0,74848426
joytafty,456565752,35714371,0
sorbhet,0,1636648184,0
Qdrant,7487310409,71399734814,0
c1park,192425551061,0,0
Mithilss,117413392845,268785391,0
Faridmaruf,0,0,11749677742
mattymchen,4479068627,16330483431,0
nerderlyne,5501663317,0,0
rooban2005,11942782218,0,0
massaro24,1112301003,0,3551
leofto,47298141,177139755,0
pragne,1519,0,2103081
enkefalos,11785124990,0,0
razhan,3541412484,32237594995,10258
andregn,17049273475,0,0
ShoukanLabs,17664287676,1116888243909,6179
ShilpaManaji,9801829458,0,0
Dadmatech,3580191233,2477325996,85025
Gwatk,1772604974,1870973,0
fynn3003,100396606,746368,9596
course-demos,0,0,5503395
ashk72,147523219706,0,1829
sdfhg5243,5762247117,32750106,3651
ShieldX,6707619226,5164025,2866817465
nickclyde,0,2126,0
clearlyzero,0,2126,0
datasciathlete,4513589490,257264513,0
MGLDZM,0,0,1431924
DRXD1000,22798483461,591107760,0
rsh123,0,0,2364
qxcv,0,29670950,0
DrGabrielLopez,0,0,858676
ttbui,485034,23870031,0
DaenerysT,0,0,3720626
macavaney,8675407154,46181244911,0
tqhoa,0,2307,141224
stable-bias,0,16862185882,25697918995
arian81,513146273,167717411,513251943
kwang2049,5847718072,0,0
mask-distilled-onesec-cv12-each-chunk-uniq,0,314796765535,0
Alignment-Lab-AI,57009498790,3700317476,0
Future-AI,0,0,1373695
garythung,0,3677026226,0
55dgxxx558,0,0,1931451276
kevinassobo,0,1174,3928337
stockmark,60011645539,4051822,0
asdasdasdasd,0,0,410615450
nishithaeluri,10047962136,0,0
Prgckwb,11888577931,981251,4577840
varma123,0,0,592203168
CobraMamba,97279145095,0,0
nala-cub,0,1615332,0
t13718236382,0,0,5090512
ensamblador,10462320491,0,0
Bulldeawh,37332774868,0,0
frizwankhan,1604517260,0,0
manivannan7gp,0,0,84893
juan9,211351163,0,3503
viktfb,82721658230,0,0
BongoCaat,0,0,113514
alanila,3087148264,114680,0
szzzzz,5039346324,0,159928589
innocent-charles,11880177151,33130604,8753
razgaon,5832018272,0,0
qbo-odp,0,40914681747,0
torchgeo,5608098050,2173263964330,0
dhanushkaha,38730213794,360204123,0
looper525,1519,15555545,0
yuniv,1490101508,23232756,0
Jokerkid,0,0,4413
ChaimaMess,0,0,0
ronaldaug,0,0,554553502
Abijith,244506070,74894,41108742
SCUT-DLVCLab,3340086615,0,0
ManuD,12604905918,222831088721,0
unknownX,0,39835,0
hac541309,1547695358,57738237531,0
davidpengg,0,0,529677213
harshee77,23521208312,0,0
kidcoconut,0,0,604799833
Azu,246532355,26307642,0
LedaMC,0,35274,92325021
shenyunhang,20549768008,0,3982395
hafidikhsan,50225933379,721067229,0
rishabhjain16,238716671559,9022873937,2564651123
k4tel,2140656237,0,1681
sg247,0,103860976,0
jhgold11,0,0,5584
grisha2000,52730544376,0,0
aliamia23232,3634638217,0,0
xinghaochen,124350734,0,817354
DONG19,3406664605,1445014822,1715
ogbrandt,76795316995,2253583,0
nmaina,1477,0,45763
jmorthorst,8831816411,0,0
zouguojun,0,0,8798
denisman,72427266214,0,0
hyeonduck,1175,45104857,0
baixing,0,0,269033
