emotion,model,dataset,pitch,spectrogram,mel spectrogram,MFCCs,RMS,spectral centroid,spectral bandwidth,spectral contrast,spectral flatness,spectral roll-off,zero crossing rate,LPCs,tempogram,chromagram,pseudo-constant-Q transform,IIRT,variable-Q transform,constant-Q chromagram,wavlm
Neutral,OuteAI/OuteTTS-0.2-500M,TESS,0.8193279889201281,0.2558857852965593,0.9228013271093368,0.0199826275288069,0.7816991177201271,0.7268112490837211,0.9455658407759384,0.9380233977706685,0.3036916829645634,0.8086602527322245,0.4741478409042876,0.9817269897460936,0.319274206284146,0.499981727451086,0.7015723851323128,0.9693486592173576,0.885697420835495,0.6161953446269035,0.8342922177910804
Fear,OuteAI/OuteTTS-0.2-500M,TESS,0.7247015650832074,0.2141183633729815,0.9164326697587968,-0.0021217563471873,0.6272985503077507,0.7050911754143208,0.9576519293043092,0.928215317835928,0.2154910698765889,0.7539289242533433,0.3955194051833757,0.9884799724817276,0.3166796527662415,0.4438258184492588,0.7156217408180237,0.9730822005867958,0.9017744880914688,0.5886935392022132,0.7413039126992226
Sadness,OuteAI/OuteTTS-0.2-500M,TESS,0.761508685617617,0.2006870893388986,0.9213506764173508,0.017678936961538,0.6586485670506954,0.6802947377932914,0.9428850600791616,0.9322040445415958,0.2805860027484596,0.7818847593309332,0.3782753813215153,0.9688272982835768,0.3369245466300459,0.4760760603845119,0.6206279696524143,0.9636527118086816,0.8927741459012032,0.6100238099694252,0.8518705472350121
All,OuteAI/OuteTTS-0.2-500M,TESS,0.7194903308309842,0.2103429377371711,0.91296165900571,0.0092302436390478,0.6477642788099391,0.6883256430358319,0.9459316001543068,0.9326671784471636,0.2629088802778694,0.7650583692797565,0.4036981225677987,0.972499115041324,0.3252239762543086,0.4954656633521829,0.6793202161363193,0.9650363690938268,0.8981900554895401,0.6339262433988707,0.8207023033925466
Anger,Plachtaa/VALL-E-X,TESS,0.6580820026214677,0.2116637242957949,0.9148424994945528,0.0226949646201683,0.5811167265288532,0.7032023580936333,0.9382096322439228,0.9296132365032236,0.2113719361950643,0.7556096872053601,0.4633796231991481,0.9658322126418352,0.3092889019747498,0.5150302426517009,0.7028532350063323,0.971652610898018,0.9082613542675972,0.5987272803485394,0.7677525363862514
Disgust,Plachtaa/VALL-E-X,TESS,0.6498432023268134,0.2129528279975056,0.909884975850582,0.0312280265361187,0.5872106275707484,0.6658438623627437,0.9159030035806908,0.9282216725213808,0.3280720245232805,0.7350978552451515,0.4389719682690983,0.9309217154234648,0.3315463170803758,0.5714577023684978,0.6343789801001549,0.9540132766962052,0.8987383061647415,0.6781627404689788,0.8040033191442489
Sadness,Plachtaa/VALL-E-X,TESS,0.6962598673730908,0.2208715410903096,0.9180833315849304,0.0222348984668497,0.6566742094233632,0.6623356205398423,0.9071470496710964,0.9224786262422938,0.3345698219630867,0.7275906325355286,0.4407721247680445,0.9486304932832718,0.343734485863535,0.5126282978057861,0.5995288200676441,0.9501799720525742,0.8912930950522423,0.6173533475399018,0.7860098491609097
Neutral,Plachtaa/VALL-E-X,TESS,0.7099345360230572,0.2032490590587258,0.9281217882037164,0.0244119376375238,0.6823459383100271,0.6645827786753651,0.9307226031180136,0.935852864450381,0.2638434771145694,0.7536930972229566,0.4130950187117084,0.9772087025642396,0.3388442491080734,0.5506190970540047,0.6558077529072761,0.9613990277051926,0.8955222767591476,0.6387633381783963,0.7842221461236477
Happiness,Plachtaa/VALL-E-X,TESS,0.6337343415508447,0.1916551860049367,0.906588301062584,0.0580190761384437,0.6606009078025817,0.6718537157600956,0.9188083947952062,0.9323829349328492,0.3940820826776325,0.7572764774444442,0.4527846416176906,0.9567155122756958,0.3212781472747287,0.5546599869430066,0.6698774136602879,0.952955314218998,0.9002398887276649,0.6826519384980202,0.7900141558051109
Fear,Plachtaa/VALL-E-X,TESS,0.7055096203042427,0.2167316303029656,0.9183275187015534,0.0683810400596121,0.6580668747425079,0.6823179695289422,0.9341602683794924,0.929795112224244,0.2804764620121568,0.7546860327685136,0.4235611273022412,0.9692398470640182,0.3057878645630627,0.4928701023757458,0.6863451133668422,0.9572619035840034,0.9037952169775962,0.6123237082362175,0.7237719921767711
