,player_id,Player,pos,GP,TOI,TOI_pp,Goals,Assists,First_Assists,Total_Points,Total_Points_pp,Shots,ixG,iCF,iSCF,iHDCF,Hits,Shots_Blocked,SF,CF,GF,xGF,Def_Zone_Starts,Off_Zone_Starts,oiSH,SCF,GA,G-ixG,OZ Start%,GF%
511,8478911,Matt Roy,D,82,1539.6166666666659,5.466666666666714,9,17,7,26,0.0,135,7.019999999999996,251,93,20,119,153,816,1455,74,71.47,279,170,0.09068627450980392,767,95,1.980000000000004,0.37861915367483295,0.4378698224852071
512,8478967,Lane Pederson,F,27,322.01666666666847,19.016666666666495,3,3,3,6,0.0,27,3.8800000000000003,45,30,19,68,11,168,301,15,16.24,53,60,0.08928571428571429,153,16,-0.8800000000000003,0.5309734513274337,0.4838709677419355
513,8478970,Jalen Chatfield,D,78,1101.733333333336,0.666666666666676,6,8,5,14,0.0,93,5.159999999999998,215,58,15,78,63,581,1113,55,55.75000000000001,145,165,0.09466437177280551,556,38,0.8400000000000016,0.532258064516129,0.5913978494623656
514,8478975,Mason Marchment,F,68,1067.9833333333347,109.06666666666669,12,19,13,31,5.0,148,18.970000000000002,264,173,75,88,39,586,1111,47,60.44999999999999,139,199,0.08020477815699659,569,44,-6.970000000000002,0.5887573964497042,0.5164835164835165
515,8479026,Philippe Myers,D,11,126.966666666667,0.0,1,2,0,3,0.0,21,0.52,37,11,3,31,6,84,144,7,6.26,9,10,0.08333333333333333,72,7,0.48,0.5263157894736842,0.5
516,8479066,Ryan Lomberg,F,82,927.3333333333323,10.93333333333338,12,8,5,20,0.0,134,14.640000000000002,218,121,67,149,24,540,1003,38,45.980000000000004,139,169,0.07037037037037037,477,42,-2.6400000000000023,0.5487012987012987,0.475
517,8479252,Dan Renouf,D,1,11.566666666667,0.0,0,0,0,0,0.0,5,0.46,5,1,0,1,2,8,15,0,0.98,1,3,0.0,5,3,-0.46,0.75,0.0
518,8479291,Kevin Rooney,F,17,150.6666666666661,1.60000000000001,0,1,1,1,0.0,14,2.1799999999999997,27,18,10,26,10,74,135,4,6.069999999999999,17,29,0.05405405405405406,61,6,-2.1799999999999997,0.6304347826086957,0.4
519,8479293,Brandon Tanev,F,82,1166.0500000000031,6.349999999999964,16,19,12,35,0.0,115,18.539999999999996,192,117,73,190,68,455,868,54,50.71,274,188,0.11868131868131868,421,64,-2.5399999999999956,0.4069264069264069,0.4576271186440678
520,8479304,Kyle Criscuolo,F,1,13.233333333333,0.85,1,0,0,1,0.0,2,0.22,2,2,1,2,1,4,4,1,0.46,2,2,0.25,4,1,0.78,0.5,0.5
